site,year,precip,block,nitrogen,plot,species,cover
mesic,2017,850.9,A,15,4,Salvia azurea,3
mesic,2013,729.1,A,5,5,Ambrosia psilostachya,4
mesic,2013,729.1,A,5,5,Dalea candida,2
mesic,2013,729.1,A,5,5,Physalis pumila,2
mesic,2013,729.1,A,5,5,Amorpha canescens,1
mesic,2013,729.1,A,5,5,Carex heliophila,2
mesic,2013,729.1,A,5,5,Ruellia humilis,2
mesic,2013,729.1,A,5,5,Andropogon gerardii,60
mesic,2013,729.1,A,5,5,Kuhnia eupatorioides,5
mesic,2013,729.1,A,5,5,Sporobolus asper,12
mesic,2013,729.1,A,5,5,Aster ericoides,1
mesic,2013,729.1,A,5,5,Asclepias verticillata,4
mesic,2013,729.1,A,5,5,Dichanthelium oligosanthes,2
mesic,2013,729.1,A,5,5,Carex meadii,2
mesic,2013,729.1,A,5,5,Dalea purpurea,1
mesic,2013,729.1,A,5,5,Solidago rigida,20
mesic,2013,729.1,A,5,5,Sorghastrum nutans,45
mesic,2014,665.7,A,5,5,Carex heliophila,1
mesic,2014,665.7,A,5,5,Carex brevior,2
mesic,2014,665.7,A,5,5,Dalea candida,3
mesic,2014,665.7,A,5,5,Carex meadii,6
mesic,2014,665.7,A,5,5,Dichanthelium oligosanthes,3
mesic,2014,665.7,A,5,5,Ambrosia psilostachya,7
mesic,2014,665.7,A,5,5,Asclepias verticillata,2
mesic,2014,665.7,A,5,5,Amorpha canescens,3
mesic,2014,665.7,A,5,5,Andropogon gerardii,45
mesic,2014,665.7,A,5,5,Solidago rigida,70
mesic,2014,665.7,A,5,5,Aster ericoides,1
mesic,2014,665.7,A,5,5,Ruellia humilis,4
mesic,2014,665.7,A,5,5,Schizachyrium scoparium,40
mesic,2014,665.7,A,5,5,Kuhnia eupatorioides,5
mesic,2014,665.7,A,5,5,Sporobolus asper,25
mesic,2015,894,A,5,5,Andropogon gerardii,100
mesic,2015,894,A,5,5,Dichanthelium oligosanthes,3
mesic,2015,894,A,5,5,Sorghastrum nutans,10
mesic,2015,894,A,5,5,Sporobolus asper,5
mesic,2015,894,A,5,5,Carex meadii,5
mesic,2015,894,A,5,5,Carex brevior,2
mesic,2015,894,A,5,5,Ambrosia psilostachya,2
mesic,2015,894,A,5,5,Amorpha canescens,4
mesic,2015,894,A,5,5,Asclepias verticillata,1
mesic,2015,894,A,5,5,Kuhnia eupatorioides,7
mesic,2015,894,A,5,5,Dalea candida,1
mesic,2015,894,A,5,5,Lespedeza capitata,1
mesic,2015,894,A,5,5,Physalis pumila,1
mesic,2015,894,A,5,5,Ruellia humilis,3
mesic,2015,894,A,5,5,Solidago missouriensis,5
mesic,2015,894,A,5,5,Solidago rigida,25
mesic,2016,1054.2,A,5,5,Kuhnia eupatorioides,2
mesic,2016,1054.2,A,5,5,Ruellia humilis,3
mesic,2016,1054.2,A,5,5,Dalea candida,1
mesic,2016,1054.2,A,5,5,Asclepias verticillata,1
mesic,2016,1054.2,A,5,5,Solidago speciosa,3
mesic,2016,1054.2,A,5,5,Sorghastrum nutans,70
mesic,2016,1054.2,A,5,5,Solidago rigida,19
mesic,2016,1054.2,A,5,5,Bouteloua gracilis,2
mesic,2016,1054.2,A,5,5,Amorpha canescens,3
mesic,2016,1054.2,A,5,5,Sporobolus asper,35
mesic,2016,1054.2,A,5,5,Carex meadii,2
mesic,2016,1054.2,A,5,5,Dichanthelium oligosanthes,1
mesic,2016,1054.2,A,5,5,Andropogon gerardii,30
mesic,2017,850.9,A,5,5,Ambrosia psilostachya,6
mesic,2017,850.9,A,5,5,Lespedeza capitata,5
mesic,2017,850.9,A,5,5,Amorpha canescens,3
mesic,2017,850.9,A,5,5,Physalis pumila,1
mesic,2017,850.9,A,5,5,Sorghastrum nutans,15
mesic,2017,850.9,A,5,5,Dichanthelium oligosanthes,1
mesic,2017,850.9,A,5,5,Kuhnia eupatorioides,4
mesic,2017,850.9,A,5,5,Solidago rigida,28
mesic,2017,850.9,A,5,5,Desmodium illinoense,1
mesic,2017,850.9,A,5,5,Carex brevior,1
mesic,2017,850.9,A,5,5,Sporobolus asper,15
mesic,2017,850.9,A,5,5,Ruellia humilis,6
mesic,2017,850.9,A,5,5,Dalea candida,1
mesic,2017,850.9,A,5,5,Asclepias verticillata,2
mesic,2017,850.9,A,5,5,Andropogon gerardii,80
mesic,2013,729.1,A,0,6,Ambrosia psilostachya,8
mesic,2013,729.1,A,0,6,Amorpha canescens,6
mesic,2013,729.1,A,0,6,Sporobolus asper,12
mesic,2013,729.1,A,0,6,Dalea purpurea,9
mesic,2013,729.1,A,0,6,Panicum virgatum,2
mesic,2013,729.1,A,0,6,Dichanthelium oligosanthes,3
mesic,2013,729.1,A,0,6,Psoralea tenuiflora,4
mesic,2013,729.1,A,0,6,Ruellia humilis,5
mesic,2013,729.1,A,0,6,Andropogon gerardii,85
mesic,2013,729.1,A,0,6,Salvia azurea,4
mesic,2013,729.1,A,0,6,Sorghastrum nutans,14
mesic,2013,729.1,A,0,6,Lespedeza capitata,1
mesic,2013,729.1,A,0,6,Physalis pumila,1
mesic,2013,729.1,A,0,6,Aster ericoides,2
mesic,2013,729.1,A,0,6,Euphorbia nutans,1
mesic,2013,729.1,A,0,6,Carex meadii,1
mesic,2013,729.1,A,0,6,Carex heliophila,1
mesic,2013,729.1,A,0,6,Solidago rigida,1
mesic,2014,665.7,A,0,6,Lespedeza capitata,1
mesic,2014,665.7,A,0,6,Dalea purpurea,9
mesic,2014,665.7,A,0,6,Ruellia humilis,6
mesic,2014,665.7,A,0,6,Sisyrinchium campestris,2
mesic,2014,665.7,A,0,6,Andropogon gerardii,90
mesic,2014,665.7,A,0,6,Carex heliophila,1
mesic,2014,665.7,A,0,6,Salvia azurea,3
mesic,2014,665.7,A,0,6,Sorghastrum nutans,8
mesic,2014,665.7,A,0,6,Ambrosia psilostachya,13
mesic,2014,665.7,A,0,6,Sporobolus asper,12
mesic,2014,665.7,A,0,6,Carex meadii,2
mesic,2014,665.7,A,0,6,Panicum virgatum,10
mesic,2014,665.7,A,0,6,Dichanthelium oligosanthes,4
mesic,2014,665.7,A,0,6,Amorpha canescens,9
mesic,2014,665.7,A,0,6,Psoralea tenuiflora,3
mesic,2014,665.7,A,0,6,Solidago rigida,1
mesic,2015,894,A,0,6,Andropogon gerardii,100
mesic,2015,894,A,0,6,Dichanthelium oligosanthes,1
mesic,2015,894,A,0,6,Eragrostis spectabilis,2
mesic,2015,894,A,0,6,Panicum virgatum,8
mesic,2015,894,A,0,6,Sorghastrum nutans,5
mesic,2015,894,A,0,6,Sporobolus asper,12
mesic,2015,894,A,0,6,Carex heliophila,1
mesic,2015,894,A,0,6,Carex meadii,4
mesic,2015,894,A,0,6,Amorpha canescens,5
mesic,2015,894,A,0,6,Ambrosia psilostachya,7
mesic,2015,894,A,0,6,Asclepias verticillata,1
mesic,2015,894,A,0,6,Lespedeza capitata,2
mesic,2015,894,A,0,6,Dalea purpurea,2
mesic,2015,894,A,0,6,Psoralea tenuiflora,2
mesic,2015,894,A,0,6,Ruellia humilis,6
mesic,2015,894,A,0,6,Salvia azurea,7
mesic,2015,894,A,0,6,Sisyrinchium campestris,1
mesic,2015,894,A,0,6,Solidago rigida,1
mesic,2016,1054.2,A,0,6,Panicum virgatum,2
mesic,2016,1054.2,A,0,6,Ambrosia psilostachya,3
mesic,2016,1054.2,A,0,6,Ruellia humilis,6
mesic,2016,1054.2,A,0,6,Salvia azurea,4
mesic,2016,1054.2,A,0,6,Carex heliophila,2
mesic,2016,1054.2,A,0,6,Lespedeza capitata,3
mesic,2016,1054.2,A,0,6,Sorghastrum nutans,30
mesic,2016,1054.2,A,0,6,Dichanthelium oligosanthes,1
mesic,2016,1054.2,A,0,6,Amorpha canescens,3
mesic,2016,1054.2,A,0,6,Sporobolus asper,14
mesic,2016,1054.2,A,0,6,Dalea purpurea,2
mesic,2016,1054.2,A,0,6,Carex meadii,6
mesic,2016,1054.2,A,0,6,Andropogon gerardii,80
mesic,2016,1054.2,A,0,6,Solidago rigida,1
mesic,2017,850.9,A,0,6,Sporobolus asper,6
mesic,2017,850.9,A,0,6,Lespedeza capitata,3
mesic,2017,850.9,A,0,6,Carex heliophila,1
mesic,2017,850.9,A,0,6,Salvia azurea,5
mesic,2017,850.9,A,0,6,Asclepias verticillata,3
mesic,2017,850.9,A,0,6,Dichanthelium oligosanthes,1
mesic,2017,850.9,A,0,6,Dalea purpurea,3
mesic,2017,850.9,A,0,6,Sorghastrum nutans,20
mesic,2017,850.9,A,0,6,Andropogon gerardii,70
mesic,2017,850.9,A,0,6,Solidago rigida,2
mesic,2017,850.9,A,0,6,Ruellia humilis,3
mesic,2017,850.9,A,0,6,Dichanthelium acuminatum,2
mesic,2017,850.9,A,0,6,Carex meadii,5
mesic,2017,850.9,A,0,6,Ambrosia psilostachya,9
mesic,2017,850.9,A,0,6,Amorpha canescens,12
mesic,2013,729.1,A,7.5,7,Dichanthelium oligosanthes,2
mesic,2013,729.1,A,7.5,7,Amorpha canescens,2
mesic,2013,729.1,A,7.5,7,Euphorbia nutans,1
mesic,2013,729.1,A,7.5,7,Andropogon gerardii,55
mesic,2013,729.1,A,7.5,7,Dalea candida,1
mesic,2013,729.1,A,7.5,7,Sporobolus asper,45
mesic,2013,729.1,A,7.5,7,Ruellia humilis,1
mesic,2013,729.1,A,7.5,7,Salvia azurea,4
mesic,2013,729.1,A,7.5,7,Solidago rigida,1
mesic,2013,729.1,A,7.5,7,Carex meadii,3
mesic,2013,729.1,A,7.5,7,Sorghastrum nutans,35
mesic,2014,665.7,A,7.5,7,Solidago canadensis,2
mesic,2014,665.7,A,7.5,7,Panicum virgatum,5
mesic,2014,665.7,A,7.5,7,Carex meadii,9
mesic,2014,665.7,A,7.5,7,Andropogon gerardii,70
mesic,2014,665.7,A,7.5,7,Sorghastrum nutans,22
mesic,2014,665.7,A,7.5,7,Dichanthelium oligosanthes,7
mesic,2014,665.7,A,7.5,7,Solidago rigida,10
mesic,2014,665.7,A,7.5,7,Amorpha canescens,4
mesic,2014,665.7,A,7.5,7,Sporobolus asper,45
mesic,2014,665.7,A,7.5,7,Ruellia humilis,1
mesic,2014,665.7,A,7.5,7,Salvia azurea,6
mesic,2015,894,A,7.5,7,Andropogon gerardii,80
mesic,2015,894,A,7.5,7,Dichanthelium oligosanthes,2
mesic,2015,894,A,7.5,7,Panicum virgatum,7
mesic,2015,894,A,7.5,7,Sorghastrum nutans,90
mesic,2015,894,A,7.5,7,Sporobolus asper,2
mesic,2015,894,A,7.5,7,Carex meadii,15
mesic,2015,894,A,7.5,7,Amorpha canescens,1
mesic,2015,894,A,7.5,7,Dalea candida,1
mesic,2015,894,A,7.5,7,Salvia azurea,10
mesic,2015,894,A,7.5,7,Solidago canadensis,5
mesic,2015,894,A,7.5,7,Solidago rigida,3
mesic,2015,894,A,7.5,7,Euphorbia nutans,1
mesic,2015,894,A,7.5,7,Ruellia humilis,1
mesic,2016,1054.2,A,7.5,7,Salvia azurea,8
mesic,2016,1054.2,A,7.5,7,Andropogon gerardii,60
mesic,2016,1054.2,A,7.5,7,Kuhnia eupatorioides,1
mesic,2016,1054.2,A,7.5,7,Ruellia humilis,1
mesic,2016,1054.2,A,7.5,7,Solidago rigida,2
mesic,2016,1054.2,A,7.5,7,Carex heliophila,2
mesic,2016,1054.2,A,7.5,7,Panicum virgatum,12
mesic,2016,1054.2,A,7.5,7,Euphorbia nutans,1
mesic,2016,1054.2,A,7.5,7,Oxalis stricta,1
mesic,2016,1054.2,A,7.5,7,Bouteloua gracilis,1
mesic,2016,1054.2,A,7.5,7,Sorghastrum nutans,40
mesic,2016,1054.2,A,7.5,7,Dichanthelium oligosanthes,1
mesic,2016,1054.2,A,7.5,7,Amorpha canescens,1
mesic,2016,1054.2,A,7.5,7,Sporobolus asper,55
mesic,2016,1054.2,A,7.5,7,Solidago canadensis,10
mesic,2016,1054.2,A,7.5,7,Dichanthelium acuminatum,1
mesic,2016,1054.2,A,7.5,7,Carex meadii,7
mesic,2017,850.9,A,7.5,7,Carex meadii,5
mesic,2017,850.9,A,7.5,7,Oxalis stricta,1
mesic,2017,850.9,A,7.5,7,Sporobolus asper,45
mesic,2017,850.9,A,7.5,7,Salvia azurea,7
mesic,2017,850.9,A,7.5,7,Sorghastrum nutans,20
mesic,2017,850.9,A,7.5,7,Solidago canadensis,20
mesic,2017,850.9,A,7.5,7,Panicum virgatum,17
mesic,2017,850.9,A,7.5,7,Andropogon gerardii,15
mesic,2017,850.9,A,7.5,7,Amorpha canescens,2
mesic,2017,850.9,A,7.5,7,Solidago rigida,2
mesic,2013,729.1,A,2.5,8,Ambrosia psilostachya,7
mesic,2013,729.1,A,2.5,8,Dichanthelium oligosanthes,4
mesic,2013,729.1,A,2.5,8,Amorpha canescens,5
mesic,2013,729.1,A,2.5,8,Andropogon gerardii,75
mesic,2013,729.1,A,2.5,8,Aster ericoides,1
mesic,2013,729.1,A,2.5,8,Euphorbia nutans,1
mesic,2013,729.1,A,2.5,8,Salvia azurea,2
mesic,2013,729.1,A,2.5,8,Sorghastrum nutans,25
mesic,2013,729.1,A,2.5,8,Lespedeza capitata,1
mesic,2013,729.1,A,2.5,8,Asclepias verticillata,1
mesic,2013,729.1,A,2.5,8,Solidago rigida,3
mesic,2013,729.1,A,2.5,8,Carex heliophila,3
mesic,2013,729.1,A,2.5,8,Panicum virgatum,4
mesic,2013,729.1,A,2.5,8,Ruellia humilis,5
mesic,2013,729.1,A,2.5,8,Solidago canadensis,10
mesic,2013,729.1,A,2.5,8,Vernonia baldwinii,2
